Time Stamp,ID,NAP_T95,TI1006,PI1003,FI1048,QF9020
23/08/2023 02:00,1,149,120.63,1.78,63.49,5511.12
30/08/2023 02:00,2,145.1,121.532,1.9,71.06,6997.72
06/09/2023 02:00,3,149,124.783,1.86,80.02,7257.43
13/09/2023 02:00,4,147.6,124.615,1.89,80.14,6942.09
20/09/2023 02:00,5,155.1,129.789,1.99,80.07,7782.94
27/09/2023 02:00,6,159.8,136.018,1.98,87.97,8549.33
04/10/2023 02:00,7,157.3,135.78,1.98,87.81,8626.47
11/10/2023 02:00,8,159,135.551,1.99,88.05,8450.07
18/10/2023 02:00,9,147.9,124.162,1.98,79.95,7104.01
08/11/2023 02:00,10,151.5,132.523,2.01,92.92,6729.47
15/11/2023 02:00,11,143.7,125.797,2,91.07,5996.16
22/11/2023 02:00,12,145.1,125.015,1.98,89.5,6064.04
29/11/2023 02:00,13,148.5,127.504,2,91.5,7551.46
06/12/2023 02:00,14,151.5,130.04,2,92.43,8007.74
13/12/2023 02:00,15,151.4,129.765,2,90.21,7871.14
20/12/2023 02:00,16,182,147.744,1.99,27.29,10031.44
27/12/2023 02:00,17,182,148.3,1.96,26.8,9942.85
03/01/2024 02:00,18,144.2,124.335,2,92.55,7484.01
10/01/2024 02:00,19,144.5,126.38,1.97,90.91,8055.76
17/01/2024 02:00,20,140.7,122.368,1.99,92.02,7559.92
24/01/2024 02:00,21,143,125.187,2.02,88.04,7594.98
31/01/2024 02:00,22,141.2,124.394,2,91.21,7303.2
07/02/2024 02:00,23,138.7,121.832,1.97,92.6,7107.93
14/02/2024 02:00,24,138.3,122.255,1.99,91.29,7028.79
21/02/2024 02:00,25,137.7,120.747,1.99,89.82,7079.47
28/02/2024 02:00,26,143.4,124.408,1.99,85.68,7243.28
06/03/2024 02:00,27,145.7,127.216,2,91.43,7167.13
13/03/2024 02:00,28,147.2,128.451,2,92.39,7215.06
20/03/2024 02:00,29,146.8,126.842,1.99,88.84,6824.58
27/03/2024 02:00,30,141.5,122.935,2,88.44,6674.03
03/04/2024 02:00,31,145.1,124.871,1.99,86.19,7223.55
10/04/2024 02:00,32,143.6,124.286,1.99,89.04,6806.27
17/04/2024 02:00,33,141.2,124.999,1.99,87.87,6718.1
24/04/2024 02:00,34,143.4,125.507,2,87.89,6947.2
08/05/2024 02:00,35,144.3,123.854,1.99,75.8,6085.36
15/05/2024 02:00,36,149.7,128.027,1.98,88.97,7078.96
22/05/2024 02:00,37,141.8,123.719,2.02,93.32,6785.92
29/05/2024 02:00,38,141.9,126.569,2,78.01,5889.39
05/06/2024 02:00,39,147.2,128.65,2,75.97,5972.07
12/06/2024 02:00,40,144.7,127.685,2,83.8,5903.71
19/06/2024 02:00,41,151,131.373,1.99,84.11,6613.71
26/06/2024 02:00,42,149.9,131.874,1.98,93.3,6778.7
03/07/2024 02:00,43,146,129.096,2.01,93.57,6566.52
10/07/2024 02:00,44,146.1,130.215,1.99,91.23,6650.79
17/07/2024 02:00,45,147.6,131.365,2,90.35,7069.11
24/07/2024 02:00,46,147.9,130.255,1.98,93.09,7075.12
31/07/2024 02:00,47,142.7,127.354,1.98,90.74,5698.61
07/08/2024 02:00,48,143.9,128.152,1.99,91.61,5763.13
14/08/2024 02:00,49,148.4,129.635,2,90.99,7993.02
21/08/2024 02:00,50,145.9,125.176,1.99,92.43,7486.06
28/08/2024 02:00,51,141.9,124.023,1.99,85.36,6391.59
04/09/2024 02:00,52,143,126.889,1.99,85.15,6606.34
11/09/2024 02:00,53,138.5,123.684,2,85.66,5746.36
18/09/2024 02:00,54,141.3,124.662,1.97,90.95,7290.55
25/09/2024 02:00,55,137.4,124.04,1.99,87.73,6345.87
02/10/2024 02:00,56,138.2,123.275,2,93.27,6646.29
09/10/2024 02:00,57,136.6,123.538,1.99,92.66,6669.7
15/01/2025 04:00,58,136.3,122.551,2.01,85.61,7270.12
29/01/2025 04:00,59,138.9,122.369,2.01,92.44,7295.1
12/02/2025 04:00,60,136.8,121.651,2,91.15,7175
